STATUS;ERROR;MSG;REZERVED;ВНИМАНИЕ! Эту строку удалять НЕЛЬЗЯ!!! ОБРАБОТЧИК ОШИБОК НЕ БУДЕТ РАБОТАТЬ;
1;ERROR_BASE;Невозможно открыть базу данных '@info@'. Проверьте наличие файла и права доступа на файл.;
1;BAD_ADD_TEMA;ОШИБКА cоздания файла @info@;
1;NO_FILE;Ошибка :-(. Необходимый для работы файл @info@ отсутствует!!!;
1;NOT_FIND_TOP;"Файл верхней части и стилей @info@ из папки со скином (images-ХХХ) не подключается! Либо права доступа не выставлены; либо надо перезакачать этот файл!;
1;BAD_CONFIG;Файл конфигурации config.dbf повреждён. Восстановите его из копии!;
2;SPAM;@back@ Чаще 30 секунд запрещено размещать сообщения. Подождите ещё @info@ сек.!;
2;BAD_EMAIL;@back@ и введите корректный E-mail адрес!;
2;BAD_MSG;@back@ ваше сообщение или пустое или превышает на @info@ максимально допустимое 3000 символов.;
2;FLUD_TEMA;@back@ Тема с таким названием уже существует. Флудить на форуме запрещено!;
2;TEMA_EXIST;@back@ Ошибка! Тема уже создана! Файл с таким именем существует!;
2;FILE_IS_DELETED;Файл темы @info@ отсутствует. Тема удалена администратором или модератором!;
2;BAD_ID;Идентификатор темы ID отсутствует либо ошибочен! Данной темы не существует!;
2;BAD_PAGE;Ошибка! Номер страницы (page) должен состоять только из цифр и быть менее 10 символов!;
2;FLUD_MSG;@back@ Данное сообщение уже размещено. Флудить на форуме запрещено!;
2;BAD_TEMA_NAME;@back@ Название темы не указано или превышает максимально допустимые 35 символов!;
2;BAD_CODE;"@back@ Введённый вами код ошибочен! Введите верный код; либо обновите страницу и повторите ввод кода!;
2;BAD_ADRESS;ошибочный адрес! @info@;
2;NO_NAME;@back@ Вы не ввели имя, либо имя превышает 35 символов.;
2;NO_RUBRIK_NAME;@back@ Отсутствует название темы либо отсутствует обязательный ключ id рубрики!;
2;NO_ID_TEMA;Ошибка в форме - отсутствует идентификатор темы.;
2;BAD_KEY;Ошибка! Ключ раздела должен состоять только из цифр!;
2;NO_ID;@back@ Отсутствует обязательный ключ-идентификатор (ID рубрики)!;
2;BAD_TEMA_KEY;Ошибка! Ключ темы должен состоять только из цифр!;
1;HACK_COOKE;Попытка взлома - длина переменной куки сильно большая!;
2;NO_NAME_AND_PASS;@back@ Вы не ввели имя или пароль!;
1;NUM_DELETE_TEMA;Номер темы для удаления не указан!;
2;NO_FORM_DATA; Из формы не поступили данные! Ошибка скрипта или попытка взлома. Сообщите администратору, пожалуйста;
2;NO_NAME_AND_MSG;@back@ Из формы не поступили данные имени и сообщения!;
1;NO_ID_OR_RN;@back@. Ошибка! Из формы не поступили данные: id или rn!;
1;ERROR_KEY;"@bac@. Ключ темы пришедший из формы ошибочен! Значит сообщение либо удалено, либо необходимо обновить страницу и повторить попытку удаления!;
1;MIN_ONE;@back@ В теме должно оставаться хотя бы одно сообщение!;
1;BAD_NAME_OR_PASS;@back@ Ваши логин и/или пароль ошибочны.;
1;NO_TEMA_SELECTED;Не выбрана тема для редактирования! Вернитесь назад и выберете тему!;
2;BAD_PASS;"Длина пароля ошибочна! Разрешается длина пароля МИНИМУМ 1 символ; максимум 15!;
1;FIST_MUST_BE;Нельзя удалять первое сообщение. Разрешается лишь редактировать его.;
1;PUSTOY_ZAPROS;@back@ Ваш запрос слишком короткий или длинный. Допускается запросы от 4 до 30 символов! А Ваш состоит из @info@ символов!;
1;NO_USER;@back@ Участника с таким емайлом или логином на форуме не зарегистрировано!;
1;NO_ACTIVATION;@back@ Ваша учётная запись не активирована. Для активации Вам необходимо перейти по этой @info@ ссылке и ввести код, который должна прийти Вам на емайл.;
1;NO_COKIE;Для просмотра данных пользователей необходимо зарегистрироваться или войти на форум.;
1;BAD_ZAPROS;Ваш поисковый запрос пуст или менее @info@ символов!;
1;BAD_NAME_PASS;@back@ В целях Вашей безопасности, запрещено равенство имени и пароля!;
1;BAD_USERPARAM;@back@ Участник с таким @info@ уже зарегистрирован на форуме!;